doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-06-2015,4.,,,,,,,,타일공사 작업계획 수립 시 검토사항,,,,,,,,,,,
C-06-2015,4.,,,,(1),,,,,"타일공사 작업계획은 타일공사 작업장의 제반 여건과 설계도서(설계도면, 시방서 등)에서 정하고 있는 작업별 작업 방법 및 절차에 부합하여야 한다.",,,,,,,,,,
C-06-2015,4.,,,,(2),,,,,"작업계획서는 타일공사 시 작업용 수공구, 기계 공구 등 기계․기구․장비를 사용함에 있어 안전․보건상의 문제가 없는지 검토한 후 구체적인 작업계획을 수립하여 관리감독자의 승인을 받아야 한다.",,,,,,,,,,
C-06-2015,4.,,,,(3),,,,,"작업계획서에는 타일공사 시 근로자 안전보건 공통사항으로서 안전한 구조의 작업발판(용도 외의 자재를 발판으로 사용 금지 등) 확보계획 및 시행규칙에서 정하는 안전표지(금지, 경고, 지시, 안내) 부착 계획을 포함하여야 한다.",,,,,,,,,,
C-06-2015,4.,,,,(4),,,,,작업계획서는 적용할 타일 부착 공법에 이해와 경험을 갖춘 자가 수립하여야 하며 공사 중에는 작업 책임자가 계획서의 내용에 의한 시공 실시 여부를 확인하여야 한다.,,,,,,,,,,
C-06-2015,4.,,,,(5),,,,,기타 타일공사에 따른 품질 및 시공 등 전반에 관한 사항은 국토교통부의 건축 공사 표준시방서에 준한다.,,,,,,,,,,
C-06-2015,5.,,,,,,,,타일공사 작업별 안전조치 사항,,,,,,,,,,,
C-06-2015,5.,5.1,,,,,,,타일 등 자재 운반 작업,,,,,,,,,,,
C-06-2015,5.,5.1,,,(1),,,,,"자재 운반 방법(수직, 수평)",,,,,,,,,,
C-06-2015,5.,5.1,,,(1),(가),,,,인력을 이용한 자재 운반,,,,,,,,,,
C-06-2015,5.,5.1,,,(1),(나),,,,"리어카, 핸드카 등 운반 용구를 이용한 자재 운반",<그림 2_3>,,,,,,,,,
C-06-2015,5.,5.1,,,(1),(다),,,,"지게차, 사다리차 등 운반 장비를 이용한 운반",<그림 4_5>,,,,,,,,,
C-06-2015,5.,5.1,,,(2),,,,,운반 작업 시 안전조치 사항,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),,,,인력운반 작업,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),①,,,타일 자재 운반 작업 시에는 근골격계 재해예방을 위한 안전 작업 방법을 강구하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),②,,,운반 작업 전 근로자에 대하여 충분한 준비운동을 실시하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),③,,,"인력운반 시에는 자재 중량이 허리에 집중되지 않도록 무릎을 굽힌 상태에서 허리를 펴고 짐을 들어 올리며, 가급적 짐은 몸 가까이 붙여 들어 올리고 하중이 하체 쪽에 전달되도록 자세를 취해야 한다.",<그림 6_7>,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),④,,,"인력운반 시에는 운반물이 타 물체에 부딪히지 않도록 사전에 운반 구간을 확인하고, 운반물이 전방 시야를 방해하지 않도록 하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),⑤,,,"인력운반 구간의 바닥면 등에 돌출물 등이 있을 경우에는 전도 재해예방을 위하여 즉시 제거하고, 바닥면은 미끄럽지 않도록 유지하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),⑥,,,자재를 인력운반 시에는 자재를 떨어뜨려 발등에 재해를 당할 우려가 있으므로 적당한 양을 운반하고 안전화를 착용하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(가),⑦,,,타일 박스를 들어 올리거나 내릴 경우에는 손이 타일 박스와 바닥면에 끼일 우려가 높으므로 적정 받침목을 설치하는 등 안전대책을 강구하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(나),,,,리어카 등 운반 용구를 이용한 자재 운반 작업,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(나),①,,,"리어카, 핸드카 등 운반 용구를 이용하여 자재를 운반 시에는 사전에 각륜, 볼트 체결 상태, 용접 상태 등 각 부위의 이상 유무를 확인하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(나),②,,,"운반 경로 상에는 돌출 장애물이 없도록 조치하고, 운반물은 운반 도중 이탈되지 않도록 로프 등을 이용하여 견고히 고정시켜야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(나),③,,,"리어카, 핸드카에는 자재의 과다 적재를 지양하고, 시야를 확보하도록 하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(나),④,,,"엘리베이터, 리프트 등을 이용한 수직 운반 시에는 개폐 문의 턱이 없도록 조치하고, 회전을 고려한 적정 작업 반경을 확보하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),,,,지게차를 이용한 운반 작업,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),①,,,"지게차를 이용하여 자재를 운반 시에는 지게차로 인한 충돌, 깔림 재해 등을 예방할 수 있도록 작업계획을 수립하고, 그 작업계획에 따라 작업을 수행하도록 하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),②,,,지게차로 팔레트를 이용하여 타일을 운반 시에는 팔레트가 지게차로부터 이탈하지 않도록 조치하여 운반하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),③,,,지게차는 자격 소지자가 운전할 수 있도록 관리를 철저히 한다.,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),④,,,"지게차 이용 작업 시에는 작업지휘자 또는 유도자를 지정하고, 신호수는 운전원이 가장 잘 볼 수 있는 위치에서 신호하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),⑤,,,"지게차는 급출발, 급정지 및 급선회를 하지 못하도록 한다.",,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),⑥,,,허용하중 및 운행 상황을 고려한 그 밖의 능력을 초과하여 지게차를 사용하여서는 아니 된다.,,,,,,,,,,
C-06-2015,5.,5.1,,,(2),(다),⑦,,,"사업주는 앉아서 조작하는 방식의 지게차를 운전하는 운전자는 좌석 안전 띠를 착용하도록 하여야 하며, 착용 지시를 받은 운전자는 좌석 안전띠를 착용하여야 한다.",<그림 8>,,,,,,,,,
C-06-2015,5.,5.2,,,,,,,붙임 재료 배합작업,,,,,,,,,,,
C-06-2015,5.,5.2,,,(1),,,,,붙임 재료,,,,,,,,,,
C-06-2015,5.,5.2,,,(1),(가),,,,현장 배합 모르타르,,,,,,,,,,
C-06-2015,5.,5.2,,,(1),(나),,,,기성 배합 모르타르,,,,,,,,,,
C-06-2015,5.,5.2,,,(1),(다),,,,접착제,,,,,,,,,,
C-06-2015,5.,5.2,,,(1),(라),,,,충전재,,,,,,,,,,
C-06-2015,5.,5.2,,,(1),(마),,,,신축 줄눈재,,,,,,,,,,
C-06-2015,5.,5.2,,,(2),,,,,붙임 재료 배합방법,,,,,,,,,,
C-06-2015,5.,5.2,,,(2),(가),,,,습식 방법,,,,,,,,,,
C-06-2015,5.,5.2,,,(2),(가),①,,,삽 등을 이용한 인력 배합,,,,,,,,,,
C-06-2015,5.,5.2,,,(2),(가),②,,,이동식 믹서(회전날)를 이용한 인력 배합,,,,,,,,,,
C-06-2015,5.,5.2,,,(2),(가),③,,,고정식 믹서를 이용한 기계 배합,,,,,,,,,,
C-06-2015,5.,5.2,,,(2),(나),,,,"건식 방법, 및 내장용 모자이크 타일, 바닥 타일 등 붙이기에 사용하는 접착제를 이용한 방법, 접착제는 냄새 등으로 환기가 되지 않을 시는 근로자 및 거주민에게 유해할 수 있으므로 접착제 선정 시 안전한 제품을 선정하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),,,,,붙임 재료 배합작업 시 안전조치 사항,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(가),,,,공통 일반 수칙,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(가),①,,,"시멘트 포대를 뜯어 사용할 경우에는 시멘트가 날리지 않도록 천천히 작업을 실시하고, 방진마스크 등을 착용하도록 한다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(가),②,,,인력 배합 작업 시에는 적정 휴식시간을 갖도록 하고 삽질 때마다 가능한 허리를 펴도록 한다.,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(가),③,,,근로자는 코팅장갑이나 고무장갑을 착용하여 시멘트가 직접적으로 손 등에 묻지 않도록 조치한다.,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(가),④,,,"작업자는 정해진 동선으로 보행토록 하고, 관계 근로자 외 출입을 통제한다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(가),⑤,,,"붙임 재료 배합작업 시 사용하는 배합 용기는 정해진 용도의 것을 사용하고, 화재·폭발 우려가 있는 폐드럼통 등을 가스 절단하여 사용하여서는 안 된다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(나),,,,삽 등을 이용한 인력 배합 작업,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(나),①,,,삽 또는 흙손 등을 사용하여 붙임 재료(배합모르타르 등)를 배합하는 경우에는 요통 재해를 예방하기 위하여 사전에 준비운동을 실시한다.,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(나),②,,,"근로자 체력에 맞는 배합량을 조절하고, 허리에 힘을 주어 삽질하지 않도록 작업 전 주지시킨다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(다),,,,이동식 믹서(회전날)를 이용한 배합 작업,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(다),①,,,이동식 믹서 사용 작업 시에는 안전장갑을 착용한 상태에서 회전날의 이상 여부를 확인하거나 회전 날에 접근하지 않도록 사전에 작업자에게 주지시킨다.,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(다),②,,,회전날을 이용한 배합 시에는 모르타르 등이 비산하지 않도록 작업구간 주변에 보호울을 설치한다.,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(다),③,,,"이동식 믹서를 이용한 배합 작업 시에는 이동식 믹서의 절연 여부, 회전날의 고정상태 및 이동 전선의 배선상태 등 이상 유무를 작업 전 확인한다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(다),④,,,이동식 믹서의 전선을 연결 또는 제거 시에는 전원을 차단한 상태에서 작업하도록 한다.,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(라),,,,고정식 믹서를 이용한 기계 배합,,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(라),①,,,"고정식 믹서의 분전반은 단독으로 설치하고, 감전재해 예방을 위하여 충전부가 노출되지 않도록 한다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(라),②,,,"가설 전선은 바닥에서 띄워서 배선하는 것을 원칙으로 하고, 부득이 바닥으로 배선하는 경우에는 절연이 파괴되지 않도록 반드시 보호덮개를 설치한다.",,,,,,,,,,
C-06-2015,5.,5.2,,,(3),(라),③,,,"고정식 믹서의 모터 등은 절연상태, 동력 전달부 의 방호 덮개 설치 상태를 수시로 점검하여 그 성능이 항상 유지되도록 관리하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.3,,,,,,,바탕처리 작업(바탕면 미장 및 타일 나누기 작업 등),,,,,,,,,,,
C-06-2015,5.,5.3,,,(1),,,,,바탕 만들기 등 작업,,,,,,,,,,
C-06-2015,5.,5.3,,,(1),(가),,,,모르타르 바탕,,,,,,,,,,
C-06-2015,5.,5.3,,,(1),(나),,,,"콘크리트 바탕 및 기타 바탕 (콘크리트 타설면, 콘크리트 블록면, 경량기포 콘크리트면, 시멘트 압출 성형판 등을 바탕으로 사용)",,,,,,,,,,
C-06-2015,5.,5.3,,,(1),(다),,,,바탕처리(물 축이기 및 청소),,,,,,,,,,
C-06-2015,5.,5.3,,,(1),(라),,,,타일 나누기,,,,,,,,,,
C-06-2015,5.,5.3,,,(2),,,,,바탕처리 작업 시 안전조치 사항,,,,,,,,,,
C-06-2015,5.,5.3,,,(2),(가),,,,작업 중 물고임에 의한 미끄럼을 예방하기 위해 적정 기울기를 유지한다.,,,,,,,,,,
C-06-2015,5.,5.3,,,(2),(나),,,,"타일 나누기 작업 및 수직․수평을 유지하기 위하여 설치하는 실의 고정못은 실의 장력에 의해 빠지지 않도록 견고히 고정하고, 작업자는 보안경 등 개인보호구를 착용하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.3,,,(2),(다),,,,규준 타일 붙이기 작업 시 시멘트의 수축량 크기 증가로 타일이 떨어져 하부 근로자를 타격할 우려가 높으므로 시멘트 뿌리는 것을 금지하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.3,,,(2),(라),,,,벽체 타일 바탕 만들기 및 타일 나누기 작업 시에는 추락재해 예방을 위하여 작업여건과 진행공종에 부합하는 작업 발판을 설치하여 작업 공간을 확보하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.4,,,,,,,타일 가공 작업,,,,,,,,,,,
C-06-2015,5.,5.4,,,(1),,,,,타일 가공 공구,,,,,,,,,,
C-06-2015,5.,5.4,,,(1),(가),,,,집게,,,,,,,,,,
C-06-2015,5.,5.4,,,(1),(나),,,,타일 커터,,,,,,,,,,
C-06-2015,5.,5.4,,,(1),(다),,,,핸드 그라인더,,,,,,,,,,
C-06-2015,5.,5.4,,,(1),(라),,,,핸드 드릴 등,<그림 9>,,,,,,,,,
C-06-2015,5.,5.4,,,(2),,,,,타일 가공 작업 시 안전조치 사항,,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(가),,,,타일 가공 작업 중 주변의 잔여 자재 등은 즉시 치우는 등 청소를 실시한다.,,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(나),,,,"다량의 자재를 절단하는 가공 작업 시에는 가공 공구를 바닥면에 설치하여 허리를 굽힌 상태에서 작업하는 것을 지양하고, 별도의 작업대에 가공공구를 설치하도록 한다.",,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(다),,,,절단기로 타일을 절단 시에는 절단면을 가볍게 누른 상태로 손은 가능한 멀리 잡도록 절단 자세를 취한다.,,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(라),,,,"절단기로 타일을 절단 시에는 자재가 절단 중 움직이지 않도록 평탄한 곳에 설치하고, 1회에 한 장씩 차례차례 절단하도록 한다.",,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(마),,,,"타일 가공은 별도의 작업대에서 하고, 말비계, 틀비계, 강관비계 등 상부의 작업발판에서 가공하는 것을 지양한다.",,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(바),,,,핸드 그라인더 등 연삭숫돌은 회전 부위에 방호덮개를 반드시 설치하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(사),,,,"연삭숫돌은 작업 시작 전에 결함 유무를 확인하고, 제조사에서 정한 최고 사용 회전속도를 초과하여 사용하여서는 아니 된다.",,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(아),,,,타일 가공 작업 시에는 타일 조각의 비산으로 인한 눈 등 신체 부위의 부상 방지를 위하여 보안경 등 당해 작업에 부합하는 개인보호구를 착용하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.4,,,(2),(자),,,,타일 가공 작업 시에는 핸드 그라인더 등으로 인해 발생된 분진이 확산되지 않도록 집진설비를 설치하거나 외부로 배출되도록 환기설비를 설치하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.5,,,,,,,타일 줄 눈 및 타일 붙이기 작업,,,,,,,,,,,
C-06-2015,5.,5.5,,,(1),,,,,타일 붙임 공법의 분류,,,,,,,,,,
C-06-2015,5.,5.5,,,(1),(가),,,,"떠붙임공법, 개량 떠붙임공법",,,,,,,,,,
C-06-2015,5.,5.5,,,(1),(나),,,,"압착 붙임 공법, 개량 압착 붙임 공법, 유닛 타일 압착공법",,,,,,,,,,
C-06-2015,5.,5.5,,,(1),(다),,,,접착 붙임 공법,,,,,,,,,,
C-06-2015,5.,5.5,,,(1),(라),,,,판형붙임공법(타일거푸집 선부착 공법),,,,,,,,,,
C-06-2015,5.,5.5,,,(1),(마),,,,동시 줄눈 공법,,,,,,,,,,
C-06-2015,5.,5.5,,,(2),,,,,타일줄눈 및 타일 붙이기 작업 시 안전조치 사항,,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(가),,,,타일줄눈 및 타일 붙이기 작업 시에는 타일이 탈락되는 것을 방지하기 위하여 타일의 적정한 바탕면 처리 및 타일의 종류와 공법에 부합하는 붙임 재료를 선택하여 타일 붙이기 작업을 수행하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(나),,,,"작업구간에는 작업자의 작업 동선을 고려하여 돌출물 등 장애물이 없도록 하고, 작업장 및 통로바 닥은 미끄러지지 않도록 타일 잔여 자재 등에 대하여 작업 전 청소하는 등의 조치를 하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(다),,,,타일 붙이기 작업 시에는 타일의 뒷발 모양에 따른 붙임 시간(Open Time)을 준수하여 적정한 접착강도를 확보하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(라),,,,"타일줄눈 및 타일 붙이기 작업 시에는 작업여건에 부합하는 안전한 구조의 작업발판을 설치하여야 하며, 페인트 통, 박스 등을 작업발판으로 사용하여서는 안 된다.",,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(마),,,,"작업발판의 틈은 3cm 이내로 하고, 작업발판의 단부에는 안전 난간 및 발끝막이 판을 설치하여야 한다.",,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(바),,,,타일 붙이기 작업구간에는 작업발판으로 통하는 안전한 구조의 가설통로를 확보하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(사),,,,타일 붙이기 작업 시에는 사다리를 작업발판으로 사용하지 않도록 하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(아),,,,타일 붙이기 작업 시에는 안전모 등 개인보호구 착용 상태를 수시 확인하여야 한다.,,,,,,,,,,
C-06-2015,5.,5.5,,,(2),(자),,,,"한 번에 넓은 범위의 줄눈 넣기 작업을 수행하는 경우에는 허리, 손 등에 무리한 힘이 가해져 전도, 추락 등의 재해가 발생하지 않도록 적당한 작업 범위를 설정하고 무리한 작업을 수행하여서는 아니 된다.",,,,,,,,,,
