doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content+category,gruop,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-49-2012,4.,,,,,,,,,,,안전대의 종류 및 명칭,,,,,,,,,,,
C-49-2012,4.,4.1,,,,,,,,,,안전대의 종류,"안전대의 종류는 <표 1> 및 <그림 1>과 같다.
",<그림 1>,<표 1>,,,,,,,,
C-49-2012,4.,4.2,,,,,,,,,,명칭,"안전대의 부위별 명칭은 <그림 2>와 같다.
",<그림 2>,,,,,,,,,
C-49-2012,5.,,,,,,,,,,,안전대의 착용대상 작업,"안전대는 추락위험이 있는 작업에는 반드시 착용하여야 하며, 추락의 위험이 있는 장소는 다음과 같다.
",,,,,,,,,,
C-49-2012,5.,,,,(1),,,,,,,,작업발판(폭 40㎝)이 없는 장소의 작업,,,,,,,,,,
C-49-2012,5.,,,,(2),,,,,,,,작업발판이 있어도 난간대가 없는 장소의 작업,,,,,,,,,,
C-49-2012,5.,,,,(3),,,,,,,,난간대로부터 상체를 내밀어 작업하는 경우,,,,,,,,,,
C-49-2012,5.,,,,(4),,,,,,,,작업발판과 구조체 사이의 거리가 30cm 이상으로 수평방호시설이 없는 장소의 작업,,,,,,,,,,
C-49-2012,6.,,,,,,,,,,,안전대의 선정,"안전대의 선정은 다음 사용목적에 적합한 안전대를 선정하여야 한다.
",,,,,,,,,,
C-49-2012,6.,,,,(1),,,,,,,,"1종 안전대는 전주 위에서의 작업과 같이 발받침은 확보되어 있어도 불안전하여 체중의 일부를 U자 걸이로 안전대에 지지하여야만 작업을 할 수 있으며, 1개 걸이의 상태로는 사용하지 않도록 선정해야 한다.",,,,,,,,,,
C-49-2012,6.,,,,(2),,,,,,,,"2종 안전대는 1개 걸이 전용으로서 작업을 할 경우, 안전대에 의지하지 않아도 작업할 수 있는 발판이 확보되었을 때 사용한다. 다만 로우프의 끝단에 클립이 부착된 것은 수직지지 로우프만으로 안전대를 설치하는 경우에 사용한다.",,,,,,,,,,
C-49-2012,6.,,,,(3),,,,,,,,3종 안전대는 1개 걸이와 U자 걸이로 사용할 때 적합하다. 특히 U자걸이 작업시 후크를 걸고 벗길 때 추락을 방지하기 위해 보조로우프를 사용하는 것이 좋다.,,,,,,,,,,
C-49-2012,6.,,,,(4),,,,,,,,안전블록이 부착된 안전대의 구조는 다음 각호에 적합하여야 한다.,,,,,,,,,,
C-49-2012,6.,,,,(4),(가),,,,,,,안전블록을 부착하여 사용하는 안전대는 신체지지의 방법으로 안전 그네만을 사용하여야 한다.,,,,,,,,,,
C-49-2012,6.,,,,(4),(나),,,,,,,안전블록은 정격 사용길이가 명시되어야 한다.,,,,,,,,,,
C-49-2012,6.,,,,(4),(다),,,,,,,"안전블록의 줄은 로우프, 웨빙, 와이어로우프이어야 하며, 와이어 로우프인 경우 최소공칭지름이 4㎜ 이상이어야 한다.",,,,,,,,,,
C-49-2012,6.,,,,(5),,,,,,,,추락방지대가 부착된 안전대의 구조는 다음 각호에 적합하여야 한다.,,,,,,,,,,
C-49-2012,6.,,,,(5),(가),,,,,,,추락방지대를 부착하여 사용하는 안전대는 신체지지의 방법으로 안전 그네만을 사용하여야 하며 수직구명줄이 포함되어야 한다.,,,,,,,,,,
C-49-2012,6.,,,,(5),(나),,,,,,,"추락방지대와 안전그네간의 연결 죔줄은 가능한 짧고 로우프, 웨빙, 체인 등이어야 한다.",,,,,,,,,,
C-49-2012,6.,,,,(5),(다),,,,,,,수직구명줄에서 걸이설비와의 연결부위는 훅 또는 카라비나 등이 장착되어 걸이설비와 확실히 연결되어야 한다.,,,,,,,,,,
C-49-2012,6.,,,,(5),(라),,,,,,,수직구명줄은 유연한 로우프 등이어야 하며 구명줄이 고정되지 않아 흔들림에 의한 추락방지대의 오작동을 막기위하여 적절한 방법을 이용하여 팽팽히 당겨져야 한다.,,,,,,,,,,
C-49-2012,7.,,,,,,,,,,,안전대의 사용,,,,,,,,,,,
C-49-2012,7.,,,,(1),,,,,,,,안전대의 착용은 다음에 정하는 착용방법에 따라야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(1),(가),,,,,,,벨트는 추락시 작업자에게 충격을 최소한으로 하고 추락저지시 발쪽으로 빠지지 않도록 요골 근처에 확실하게 착용하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(1),(나),,,,,,,"박클을 바르게 사용하고, 벨트 끝이 벨트 통로를 확실하게 통과하여야 한다.",,,,,,,,,,
C-49-2012,7.,,,,(1),(다),,,,,,,"신축조절기를 사용할 때에는 각 링에 바르게 걸어야 하며, 벨트 끝이나 작업복이 말려 들어가지 않도록 주의하여야 한다.",,,,,,,,,,
C-49-2012,7.,,,,(1),(라),,,,,,,U자걸이 사용시 후크를 각링이나 D링 이외의 것에 잘못 거는 일이 없도록 벨트의 D링이나 각링부에는 후크가 걸릴 수 있는 물건을 부착하지 말아야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(1),(마),,,,,,,착용 후 지상에서 각각의 상태에서 체중을 걸고 각 부품의 이상 유무를 확인한 후 사용하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(1),(바),,,,,,,안전대를 지지하는 대상물은 로우프의 이동에 의해 로우프가 벗겨지거나 빠질 우려가 없는 구조로서 충격에 충분히 견딜 수 있어야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(1),(사),,,,,,,안전대를 지지하는 대상물에 추락시 로우프를 절단할 위험이 있는 예리한 각이 있는 경우에는 로우프가 예리한 각에 접촉하지 않도록 충분한 조치를 하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(2),,,,,,,,1개 걸이 사용에는 다음에 정하는 사항을 준수하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(2),(가),,,,,,,2종 안전대는 반드시 1.5m 이내의 범위에서 사용하도록 하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(2),(나),,,,,,,"안전대의 로우프를 지지하는 구조물의 위치는 반드시 벨트의 위치보다 높아야 하며, 작업에 지장이 없는 경우 높은 위치를 선정하여야 한다.",,,,,,,,,,
C-49-2012,7.,,,,(2),(다),,,,,,,신축조절기를 사용하는 경우 작업에 지장이 없는 범위에서 로우프의 길이를 짧게 조절하여 사용하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(2),(라),,,,,,,수직 구조물이나 경사면에서 작업시 미끄러지거나 마찰에 의한 위험이 발생할 우려가 있을 경우에는 설비를 보강하거나 지지 로우프를 설치하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(2),(마),,,,,,,추락하여 매달려 흔들리는 경우 물체에 충돌하지 않는 위치에 훅을 설치하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(2),(바),,,,,,,"바닥면으로부터 높이가 낮은 장소에서 사용하는 경우 바닥면으로부터 로우프 길이의 2배 이상의 높이에 있는 구조물 등에 설치하도록 해야 한다. 로우프의 길이 때문에 불가능한 경우에는 로우프의 길이를 짧게하여 3종, 4종 안전대를 사용하도록 한다.",,,,,,,,,,
C-49-2012,7.,,,,(2),(사),,,,,,,추락시에 로우프를 지지한 위치에서 신체가 떨어지는 높이보다 접지 바닥 면은 아래에 있어야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(3),,,,,,,,U자걸이 사용에는 다음에 정하는 사항을 준수하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(3),(가),,,,,,,"U자 걸이로 1종, 3종 또는 4종 안전대를 사용하여야 하며, 후크를 걸고 벗길 때 추락을 방지하기 위하여 1종, 3종은 보조로우프, 4종은 보조후크를 사용하여야 한다.",,,,,,,,,,
C-49-2012,7.,,,,(3),(나),,,,,,,후크가 확실하게 걸려 있는지 확인하고 작업자가 이동시에는 갑자기 손을 떼지 말고 서서히 체중을 옮겨 이상이 없는가를 확인한 후 손을 떼도록 하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(3),(다),,,,,,,전주나 구조물 등에 돌려진 로우프의 위치는 허리에 착용한 벨트의 위치보다 낮아지지 않도록 주의하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(3),(라),,,,,,,로우프의 길이는 작업상 필요한 최소한의 길이로 하여야 한다.,,,,,,,,,,
C-49-2012,7.,,,,(3),(마),,,,,,,추락 저지시에 로우프가 아래로 미끄러져 내려가지 않는 장소에 로우프를 설치하여야 한다.,,,,,,,,,,
