doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content+category,gruop,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-03-2011,4.,,,,,,,,,,,작업계획 수립 시 검토사항,,,,,,,,,,,
C-03-2011,4.,,,,(1),,,,,,,,공사현장의 제반 여건과 설계도서에서 정하고 있는 작업 단계별 작업 방법이 부합하고 공사용 장비 적용상의 문제가 없는지 검토한 후 구체적인 작업계획을 수립하여 감독관청의 승인을 받아야 한다.,,,,,,,,,,
C-03-2011,4.,,,,(2),,,,,,,,작업계획서는 본 공법에 대한 이해와 경험을 갖춘 자가 수립하여야 하며 공사 중에는 계획서의 내용 이행 여부를 수시로 확인하여야 한다.,,,,,,,,,,
C-03-2011,4.,,,,(3),,,,,,,,런칭거더 및 겐츄리크레인 등 주요 장비에 대해서는 반입하여 사용하기 전에 전문가가 구조적 안전성 및 부재의 결함·손상 여부를 확인하여야 한다.,,,,,,,,,,
C-03-2011,4.,,,,(4),,,,,,,,장비의 반입·반출 등 크레인을 사용하여 조립 및 해체작업을 하는 경우에는 작업 방법 및 순서 등이 포함된 중량물 취급 작업계획을 수립하고 이를 당해 근로자에게 주지시켜야 한다.,,,,,,,,,,
C-03-2011,5.,,,,,,,,,,,런칭거더(Launching girder) 조립 및 설치 안전 작업,,,,,,,,,,,
C-03-2011,5.,,,,(1),,,,,,,,런칭거더 조립 및 설치 순서는 <그림 4>와 같다,<그림 4>,,,,,,,,,
C-03-2011,5.,,,,(2),,,,,,,,런칭거더와 교각 등과의 고정부는 정하중에 의한 안정성 뿐만 아니라 동적 하중에 대해서도 충분한 안정성을 고려하여야 한다.,,,,,,,,,,
C-03-2011,5.,,,,(3),,,,,,,,런칭거더 설치 후 본 작업 이전에 시험운영을 통해 다음 사항을 점검하여야 한다.,,,,,,,,,,
C-03-2011,5.,,,,(3),(가),,,,,,,각종 유압 시스템의 작동 확인,,,,,,,,,,
C-03-2011,5.,,,,(3),(나),,,,,,,순 방향 추진(Launching) 및 역방향 추진 실시,,,,,,,,,,
C-03-2011,5.,,,,(3),(다),,,,,,,처짐량 확인,,,,,,,,,,
C-03-2011,5.,,,,(3),(라),,,,,,,전․후방 지점 등 부속자재 성능 확인,,,,,,,,,,
C-03-2011,5.,,,,(4),,,,,,,,겐츄리크레인 설치 후 본 작업 이전에 안전 인증을 받고 시험운영을 통해 다음 사항을 점검하여야 한다.,,,,,,,,,,
C-03-2011,5.,,,,(4),(가),,,,,,,리모컨 조작반에 의한 정상 작동상태 확인,,,,,,,,,,
C-03-2011,5.,,,,(4),(나),,,,,,,세그먼트 시험인 양 실시(인양 능력 및 인양 속도 점검),,,,,,,,,,
C-03-2011,5.,,,,(4),(다),,,,,,,겐츄리크레인 레일(Rail) 주행성능 확보,,,,,,,,,,
C-03-2011,5.,,,,(4),(라),,,,,,,스토퍼(Stopper) 및 근접 접근금지 시스템 확인,,,,,,,,,,
C-03-2011,5.,,,,(4),(마),,,,,,,브레이크(Break) 시스템 설정 (회로 설정),,,,,,,,,,
C-03-2011,5.,,,,(4),(바),,,,,,,미세조정(Inching operation) 성능 확인,,,,,,,,,,
C-03-2011,5.,,,,(5),,,,,,,,지상 조립장은 평탄성을 유지하여야 하며 부등침하가 발생하지 않도록 다짐 또는 가 포장을 실시하여 사용하도록 한다.,,,,,,,,,,
C-03-2011,5.,,,,(6),,,,,,,,런칭거더 지상 조립 시 부재의 전도 방지에 대비하여 버팀목 또는 로프를 이용하여 고정하여야 한다.,,,,,,,,,,
C-03-2011,5.,,,,(7),,,,,,,,작업 전에 중량물 취급 작업계획서를 수립하고 이를 준수하여야 한다.,,,,,,,,,,
C-03-2011,5.,,,,(8),,,,,,,,"런칭거더 위에 설치되는 겐츄리크레인은 세그먼트 등 인양 부재의 중량뿐만 아니라 지진, 풍화 중 등을 고려하여 선정하여야 한다.",,,,,,,,,,
C-03-2011,5.,,,,(9),,,,,,,,이동식 크레인은 인양 부재의 중량을 고려하여 인양 정격하중이 충분한 크레인을 선정하여야 하며 크레인 2대 이상으로 협력 작업을 하는 경우 가급적 동일한 회사의 제품을 사용하도록 한다.,,,,,,,,,,
C-03-2011,5.,,,,(10),,,,,,,,"런칭거더 힌지(hinge)부, 노즈(Nose) 힌지(hinge)부, 스토퍼(Stopper), 유압 잭(Jack) 등 주요 부재에 대해서는 사용 전 육안으로 사전점검하고 필요시 비파괴 검사 등을 통해 이상 유무를 점검하여야 한다.",,,,,,,,,,
C-03-2011,5.,,,,(11),,,,,,,,"런칭거더에 대해서는 월 1회 이상 정기점검을 실시하여 주요부의 접합 상태, 손상 유무, 성능 유지 상태 등에 대하여 기록하여야 한다.",,,,,,,,,,
C-03-2011,6.,,,,,,,,,,,세그먼트(Segment)의 제작․운반․가설 안전 작업,,,<표 1>,,,,,,,,
C-03-2011,6.,6.1,,,,,,,,,,세그먼트 제작․운반,,,,,,,,,,,
C-03-2011,6.,6.1,,,(1),,,,,,,,"교량 상부 런칭거더 가설, 세그먼트의 제작․운반, 작업대 추진, 인장 작업, 기타작업이 포함된 작업계획서를 수립하여야 한다.",,,,,,,,,,
