doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content_category,group,title,content,image,picture,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-11-2012,4.,,,,,,,,,,,이동 통로 선정 기준,"경사각에 따른 이동통로의 선정은 통상 다음과 같은 기준을 적용하며, 작업장 특성에 따라 약간의 조정은 가능하다.
",,,,,,,,,,,
C-11-2012,4.,,,,(1),,,,,,,,"경사로는 경사각 30° 이내에서 설치하며, 경사각이 15°를 초과하는 때에는 미끄러지지 않는 구조로 하여야 한다.",,,,,,,,,,,
C-11-2012,4.,,,,(2),,,,,,,,계단은 경사각 30°에서 60°까지의 구간에서 설치하여야 한다.,,,,,,,,,,,
C-11-2012,4.,,,,(3),,,,,,,,"사다리는 경사각 60°에서 90°까지 구간에서 설치하며, 이동식 사다리의 기 울기는 75° 이하로 하여야 한다.",,,,,,,,,,,
C-11-2012,5.,,,,,,,,,,,가설 계단의 설치 기준,"가설 계단의 구조는 <그림. 1>와 같으며 아래의 요건을 만족하여야 한다.
",<그림 1>,,,,,,,,,,
C-11-2012,5.,,,,(1),,,,,,,,일반 요건,,,,,,,,,,,
C-11-2012,5.,,,,(1),(가),,,,,,,"가설 계단의 재료는 한국산업규격 “KS F 8012 작업발판“의 규정에 적합한 것이어야 하며, 다음의 규정에 적합하거나 이와 동등한 이상의 기계적 성질을 가진 것으로 사용하고, 주위 환경에 의해 발생되는 부식에 대해 저항성이 있어야 한다.",,,<표_UD 1>,,,,,,,,
C-11-2012,5.,,,,(1),(나),,,,,,,계단의 재료는 충분한 강도를 유지하여야 하며 사용 중에 안전성이 있어야 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(1),(다),,,,,,,"발판을 구멍이 있는 재료로 만들 때에는 렌치, 기타 공구 등이 낙하할 위험이 없는 구조로 하여야 한다.",,,,,,,,,,,
C-11-2012,5.,,,,(1),(라),,,,,,,"발판은 이동 시의 추락, 전도, 미끄러짐 등으로 인한 재해를 예방할 수 있는 구조로 설치되어야 한다.",,,,,,,,,,,
C-11-2012,5.,,,,(1),(마),,,,,,,발판 끝부분과 계단참의 표면은 미끄럼방지 조치를 하여야 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(1),(바),,,,,,,계단 위와 주변에는 통행에 유해한 돌출된 못이나 철선 등이 없어야 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(1),(사),,,,,,,계단에는 자재나 공구 등을 적재하여서는 안된다.,,,,,,,,,,,
C-11-2012,5.,,,,(2),,,,,,,,가설 계단의 설계 요건,,,,,,,,,,,
C-11-2012,5.,,,,(2),(가),,,,,,,"계단의 설계는 “가설공사 표준시방서”에서 정하고 있는 허용응력 설계 법을 활용하고, 강재 또는 알루미늄 재 등과 같이 비교적 재사용이 많은 부 재는 장기 허용응력을 적용하여야 한다.",,,,,,,,,,,
C-11-2012,5.,,,,(2),(나),,,,,,,계단 및 계단참은 한국산업규격 “KS F 8012 작업발판“에서 규정하고 있는 통로의 역할을 하는 비계에 관한 하중을 적용하여 125㎏/㎡이상으로 하여야 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(2),(다),,,,,,,계단 발판 및 지지대의 처짐량 및 휨 하중에 관한 성능은 한국산업규격 “KS F 8012 작업발판“에서 규정하고 있는 다음과 같은 기준을 적용한다.,,,<표_UD 2>,,,,,,,,
C-11-2012,5.,,,,(3),,,,,,,,"가설 계단의 안전 요건 가설 계단의 구조에 관한 안전 요건은 한국산업규격 “KS F 8012 작업발판 “에서 규정하고 있는 건설공사 현장에서 근로자의 작업과 이동을 위해 사용되는 통로용 작업 계단의 기준을 적용하여 다음과 같이 설정한다.
",,,,,,,,,,,
C-11-2012,5.,,,,(3),(가),,,,,,,발판의 폭(L)은 35cm 이상으로 하여야 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(3),(나),,,,,,,"발판의 너비(g)는 18cm 이상으로 하고, 각각의 너비가 같은 크기이어야 한다.",,,,,,,,,,,
C-11-2012,5.,,,,(3),(다),,,,,,,"발판의 높이는 24cm 이하 이어야 하고, 동일한 계단에서의 발판 높이는 모두 일정하여야 한다. 단, 이 높이를 일정하게 하는 것이 불가능할 경우에는 출발 지점 위치에서 첫 번째 발판에 국한하여 그 높이를 줄이거나 늘려야 한다.",,,,,,,,,,,
C-11-2012,5.,,,,(3),(라),,,,,,,"계단을 설치하려는 현장의 여건에 따라 발판의 폭, 너비 또는 높이를 변경하고자 하는 경우에는 다음의 기준을 참고하여 응용하도록 한다.",,,,,,,,,,,
C-11-2012,5.,,,,(3),(라),①,,,,,,비계를 설치한 곳에 조립형 계단을 설치하는 경우에는 참고자료에 제시한 영국 규격 “BS EN 12811-1 : 2003”을 응용하도록 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(3),(라),②,,,,,,기계 · 탱크 · 설비의 내·외부 계단이나 마루 · 난간 · 피트에 연결된 고정계단을 설치하는 경우에는 참고자료에 제시한 미국 규격 “ OSHA 1910.24(e)”를 응용하도록 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(3),(마),,,,,,,"발판의 겹침(r)은 평면상의 발판일 때는 0 이상(r≧0cm)이어야 하며, 판 모양의 발판일 때는 “r≧1cm""이상이 되어야 한다.",,,,,,,,,,,
C-11-2012,5.,,,,(3),(바),,,,,,,높이가 3m를 초과하는 계단에는 높이 3m 이내마다 너비 1.2m 이상의 계단참을 설치하여야 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(3),(사),,,,,,,계단을 설치하는 때에는 각각의 발판으로부터 높이 2m이내의 머리 공간에 장애물이 없도록 하여야 한다.,,,,,,,,,,,
C-11-2012,5.,,,,(3),(아),,,,,,,"최상부의 발판은 계단참에 접하거나, 상부 발판과 계단참의 격차가 발판 높이와 같게 하여야 한다.",,,,,,,,,,,
C-11-2012,6.,,,,,,,,,,,안전 난간,,,,,,,,,,,,
C-11-2012,6.,,,,(1),,,,,,,,일반 요건,,,,,,,,,,,
C-11-2012,6.,,,,(1),(가),,,,,,,안전 난간은 추락 예방을 위한 장치로써 작업자가 추락 위험이 있는 지역에는 안전 난간을 설치한다.,,,,,,,,,,,
C-11-2012,6.,,,,(1),(나),,,,,,,높이 1m 이상인 계단의 개방된 측면에는 안전 난간을 설치하여야 한다.,,,,,,,,,,,
C-11-2012,6.,,,,(1),(다),,,,,,,계단과 인접 구조물과의 사이가 20cm 이내인 경우와 안전 난간과 동등한 구조의 보호조치가 있는 경우에는 안전 난간을 설치하지 않아도 된다.,,,,,,,,,,,
C-11-2012,6.,,,,(1),(라),,,,,,,계단과 인접 구조물과의 사이가 3cm 이상일 때에는 발끝 막이 판을 설치하여야 한다.,,,,,,,,,,,
C-11-2012,6.,,,,(2),,,,,,,,"안전 난간 안전 난간의 구성요소는 상부 난간대, 중간 난간대, 난간 기둥, 발끝 막이 판 등으로 구성된다.
",,,,,,,,,,,
C-11-2012,6.,,,,(2),(가),,,,,,,계단 발판에서 상부 난간대까지의 높이(H)는 0.9m 이상 1.2m 이하이어야 한다.,,,,,,,,,,,
C-11-2012,6.,,,,(2),(나),,,,,,,"중간 난간대는 상부 난간대와 발판의 중간지점에 설치하며, 그 공간의 폭(B)은 60cm 이하이어야 한다.",,,,,,,,,,,
C-11-2012,6.,,,,(2),(다),,,,,,,"발끝 막이 판은 난간 바닥의 물체가 낙하하는 것을 예방하기 위하여 계단 바닥면으로부터 10cm 이상의 높이(h)를 유지토록 하고, 바닥면과의 틈새 가 없도록 하여야 한다.",,,,,,,,,,,
C-11-2012,6.,,,,(2),(라),,,,,,,계단 발판의 측면이 개방되어 있는 경우에는 폭 20cm 이상의 측면 보강재(w)를 설치하여야 한다.,,,,,,,,,,,
C-11-2012,6.,,,,(2),(마),,,,,,,"난간기둥 사이의 간격은 2m 이내 이어야 하며, 만약 이 간격 이상이 되면 난간기둥을 보강하거나 고정 장치를 설치하여 임의의 방향으로 움직이는 100kg 이상의 하중에 견딜 수 있도록 하여야 한다.",<그림 2>,,,,,,,,,,
C-11-2012,7.,,,,,,,,,,,기성품 가설계단의 응용,,,,,,,,,,,,
C-11-2012,7.,,,,(1),,,,,,,,"일체형 가설계단 일체형 가설계단은 <그림 3>과 같이 지지대, 계단발판 및 걸침 고리로 구성되고, 계단의 상단 및 하단에 발판 부착여부에 따라 I형과 Z형으로 구분 한다. 일체형 가설계단은 다음 각 호의 규정에 적합하여야 하며 사용에 지장이 없어야 한다.
",,,,,,,,,,,
C-11-2012,7.,,,,(1),(가),,,,,,,"지지대는 2본이 있어야 하며, 또한 각각 양 끝단에 걸침 고리를 가지고 있어야 한다.",,,,,,,,,,,
