doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content_category,group,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-25-2018,4.,,,,,,,,,,,폐기기준,"재사용 하고자 하는 가설기자재는 변형․손상․부식 등이 현저하여 교정이 불가능한 가설기자재와 고용노동부고시 “방호장치 의무안전인증 고시”, “방호장치 자율안전기준 고시”의 시험성능기준에 미달하는 가설기자재는 폐기하는 것으로 한다. 폐기기준은 <부록 1>과 같다.
",,,,,,,,,,
C-25-2018,4.,,,,(1),,,,,,,,재사용 : 수리 또는 정비 및 점검을 거쳐 성능기준이 확보된 경우,,,,,,,,,,
C-25-2018,4.,,,,(2),,,,,,,,폐기 : 고용노동부 고시의 시험성능기준에 미달하거나 변형․손상․부식 등이 현저하여 정비가 불가능한 경우,,,,,,,,,,
C-25-2018,5.,,,,,,,,,,,판정시기,"보관장소에서 현장으로 반입 전에 재사용 여부를 판단한다.
",,,,,,,,,,
C-25-2018,6.,,,,,,,,,,,성능기준과 시험방법,,,,,,,,,,,
C-25-2018,6.,,,,(1),,,,,,,,“수리 또는 정비를 거친 가설기자재”의 재사용 가부를 판단하기 위하여 성능시험를 실시한다.,,,,,,,,,,
C-25-2018,6.,,,,(2),,,,,,,,"시험방법은 가설기자재 안전인증규격과 자율안전확인규격에 따르되, 성능 기준은 안전인증규격과 자율안전확인규격의 100% 이상으로 한다. 단, 안전인증규격과 자율안전확인규격에 없는 성능기준은 한국산업표준에 따른다. 여기서, “안전인증규격과 자율안전확인규격의 100% 이상”에 대한 근거는 산업안전보건법 제34조의3(안전인증의 취소 등) ①항과 제35조의3(자율안전 확인표시의 사용금지 등) ①항의 내용에 준하여 따른다.
",,,,,,,,,,
C-25-2018,7.,,,,,,,,,,,시험체의 선정,"시험체는 재사용으로 판정된 가설기자재 모집단에서 무작위로 선정한다.
",,,,,,,,,,
C-25-2018,8.,,,,,,,,,,,표시,"성능시험 결과 재사용으로 판정된 경우 잘 보이는 곳에 '재사용 가'의 표시를 한다.
",,,,,,,,,,
C-25-2018,9.,,,,,,,,,,,품목별 점검 기준,"품목별 점검기준은 <부록 1>에 따른다.
",,,"<부록 1-1>, <부록 1-2>, <부록 1-3>, <부록 1-4>, <부록 1-5>, <부록 1-6>, <부록 1-7>, <부록 1-8>, <부록 1-9>, <부록 1-10>, <부록 1-11>, <부록 1-12>, <부록 1-13>, <부록 1-14>, <부록 1-15>, <부록 1-16>, <부록 1-17>, <부록 1-18>, <부록 1-19>, <부록 1-20>, <부록 1-21>, <부록 1-22>, <부록 1-23>, <부록 1-24>, <부록 1-25>, <부록 1-26>, <부록 1-27>, <부록 1-28>, <부록 1-29>, <부록 1-30>, <부록 1-31>, <부록 1-32>, <부록 1-33>, <부록 1-34>, <부록 1-35>, <부록 1-36>, <부록 1-37>, <부록 1-38>, <부록 1-39>, <부록 1-40>, <부록 1-41>, <부록 1-42>, <부록 1-43>, <부록 1-44>, <부록 2>",,,,,,,
